image,tokens,exact_match,token_accuracy,char_accuracy
focusStep_2_verdanaRef_size_30_sample_0017,3,0,0.0,0.7083
focusStep_2_verdanaRef_size_30_sample_0018,4,3,0.75,0.931
focusStep_2_verdanaRef_size_30_sample_0019,3,3,1.0,1.0
focusStep_2_verdanaRef_size_30_sample_0020,3,1,0.3333,0.9333
focusStep_3_timesR_size_30_sample_0001,4,2,0.5,0.8889
focusStep_3_timesR_size_30_sample_0002,4,3,0.75,0.931
focusStep_3_timesR_size_30_sample_0003,3,1,0.3333,0.8
focusStep_3_timesR_size_30_sample_0004,3,1,0.3333,0.7333
focusStep_3_timesR_size_30_sample_0005,3,2,0.6667,0.9643
focusStep_3_timesR_size_30_sample_0006,4,1,0.25,0.8966
focusStep_3_timesR_size_30_sample_0007,3,2,0.6667,0.9667
focusStep_3_timesR_size_30_sample_0008,5,1,0.2,0.6296
focusStep_3_timesR_size_30_sample_0009,2,1,0.5,0.55
focusStep_3_timesR_size_30_sample_0010,3,0,0.0,0.9
focusStep_3_timesR_size_30_sample_0011,4,1,0.25,0.6429
focusStep_3_timesR_size_30_sample_0012,4,2,0.5,0.9286
focusStep_3_timesR_size_30_sample_0013,3,2,0.6667,0.9667
focusStep_3_timesR_size_30_sample_0014,4,1,0.25,0.6429
focusStep_3_timesR_size_30_sample_0015,3,1,0.3333,0.8667
focusStep_3_timesR_size_30_sample_0016,4,2,0.5,0.8966
focusStep_3_timesR_size_30_sample_0017,4,1,0.25,0.3889
focusStep_3_timesR_size_30_sample_0018,3,2,0.6667,0.9667
focusStep_3_timesR_size_30_sample_0019,4,2,0.5,0.6897
focusStep_3_timesR_size_30_sample_0020,4,1,0.25,0.8929
focusStep_3_verdanaRef_size_30_sample_0001,4,4,1.0,1.0
focusStep_3_verdanaRef_size_30_sample_0002,3,2,0.6667,0.9655
focusStep_3_verdanaRef_size_30_sample_0003,3,2,0.6667,0.9667
focusStep_3_verdanaRef_size_30_sample_0004,5,5,1.0,1.0
focusStep_3_verdanaRef_size_30_sample_0005,4,2,0.5,0.7586
focusStep_3_verdanaRef_size_30_sample_0006,5,5,1.0,1.0
focusStep_3_verdanaRef_size_30_sample_0007,5,5,1.0,1.0
focusStep_3_verdanaRef_size_30_sample_0008,4,2,0.5,0.8621
focusStep_3_verdanaRef_size_30_sample_0009,4,3,0.75,0.9643
focusStep_3_verdanaRef_size_30_sample_0010,4,3,0.75,0.9655
focusStep_3_verdanaRef_size_30_sample_0011,3,1,0.3333,0.5263
focusStep_3_verdanaRef_size_30_sample_0012,3,3,1.0,1.0
focusStep_3_verdanaRef_size_30_sample_0013,3,2,0.6667,0.9667
focusStep_3_verdanaRef_size_30_sample_0014,3,2,0.6667,0.9333
focusStep_3_verdanaRef_size_30_sample_0015,3,3,1.0,1.0
focusStep_3_verdanaRef_size_30_sample_0016,5,4,0.8,0.9643
focusStep_3_verdanaRef_size_30_sample_0017,3,3,1.0,1.0
focusStep_3_verdanaRef_size_30_sample_0018,3,3,1.0,1.0
focusStep_3_verdanaRef_size_30_sample_0019,3,3,1.0,1.0
focusStep_3_verdanaRef_size_30_sample_0020,3,3,1.0,1.0
focusStep_4_timesR_size_30_sample_0001,3,0,0.0,0.8333
focusStep_4_timesR_size_30_sample_0002,4,1,0.25,0.75
focusStep_4_timesR_size_30_sample_0003,3,0,0.0,0.7333
focusStep_4_timesR_size_30_sample_0004,5,3,0.6,0.8929
focusStep_4_timesR_size_30_sample_0005,3,0,0.0,0.7333
focusStep_4_timesR_size_30_sample_0006,3,0,0.0,0.3158
focusStep_4_timesR_size_30_sample_0007,3,0,0.0,0.6429
focusStep_4_timesR_size_30_sample_0008,3,0,0.0,0.7931
focusStep_4_timesR_size_30_sample_0009,3,0,0.0,0.3793
focusStep_4_timesR_size_30_sample_0010,3,0,0.0,0.1667
focusStep_4_timesR_size_30_sample_0011,3,0,0.0,0.7333
focusStep_4_timesR_size_30_sample_0012,3,0,0.0,0.2333
